id,nama,email,tanggal_lahir,bulan_lahir,total_belanja,kota
57,Ushiromiya Eva,ushiromiya.eva@gmail.com,2007-08-21,8,18895265,Ikebukuro
58,Yoshii Junna,yoshii.junna@gmail.com,2006-06-05,6,31083052,Osaka
59,Ushiromiya Ange,ushiromiya.ange@gmail.com,2005-02-14,2,34965111,Sendai
60,Ushiromiya Rudolf,ushiromiya.rudolf@gmail.com,1991-03-09,3,3744236,Shibuya
61,Juvia Lockser,juvia.lockser@gmail.com,1995-04-08,4,18144106,Hakone
62,Connie Springer,connie.springer@gmail.com,2001-01-27,1,16174815,Kyoto
63,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1984-08-23,8,42300998,Hakone
64,Kenny Ackerman,kenny.ackerman@gmail.com,2004-05-27,5,19673604,Yokohama
65,Gray Fullbuster,gray.fullbuster@gmail.com,1987-03-27,3,1915947,Sendai
66,Toyama Kazuha,toyama.kazuha@gmail.com,1995-06-25,6,46229815,Tokyo
67,Hirasawa Yui,hirasawa.yui@gmail.com,1997-12-04,12,41730651,Akihabara
68,Yoshii Junna,yoshii.junna@gmail.com,2001-09-12,9,32076551,Ikebukuro
69,Lisanna Strauss,lisanna.strauss@gmail.com,1987-09-23,9,47067741,Beika
70,Rogue Oro,rogue.oro@gmail.com,2000-02-14,2,46409167,Sapporo
71,Nakano Azusa,nakano.azusa@gmail.com,1987-08-13,8,3481548,Hakone
72,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,1994-09-04,9,13457549,Uji
73,Akai Shuichi,akai.shuichi@gmail.com,1993-05-20,5,36056745,Shibuya
74,Layla Heartfilia,layla.heartfilia@gmail.com,1981-03-12,3,43751824,Osaka
75,Sera Masumi,sera.masumi@gmail.com,1992-01-17,1,38390877,Sapporo
76,Kato Yuko,kato.yuko@gmail.com,1998-12-25,12,9835875,Rokkenjima
77,Levy McGarden,levy.mcgarden@gmail.com,1993-10-16,10,7942175,Shinjuku
78,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,1983-10-12,10,14538061,Kobe
79,Mouri Ran,mouri.ran@gmail.com,2003-08-27,8,12840420,Sendai
80,Kisaki Eri,kisaki.eri@gmail.com,1991-04-28,4,38982794,Tokyo
81,Gray Fullbuster,gray.fullbuster@gmail.com,1993-12-09,12,36168985,Beika
82,Akai Shuichi,akai.shuichi@gmail.com,1984-03-04,3,28909459,Nagoya
83,Ushiromiya Maria,ushiromiya.maria@gmail.com,1980-04-08,4,25936662,Tokyo
84,Reiner Braun,reiner.braun@gmail.com,1996-04-05,4,8457023,Shibuya
85,Hashida Itaru,hashida.itaru@gmail.com,1989-02-13,2,15942578,Ikebukuro
86,Suzuki Jun,suzuki.jun@gmail.com,1988-07-05,7,27127779,Tokyo
87,Juvia Lockser,juvia.lockser@gmail.com,1987-07-24,7,7778752,Nagoya
88,Okabe Rintarou,okabe.rintarou@gmail.com,1992-10-08,10,33001745,Kobe
89,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2004-10-19,10,6223444,Uji
90,Yoshii Junna,yoshii.junna@gmail.com,2006-01-06,1,38683837,Magnolia
91,Goto Hazuki,goto.hazuki@gmail.com,1990-08-01,8,48466693,Shibuya
92,Kawashima Sapphire,kawashima.sapphire@gmail.com,1995-04-05,4,5341458,Hakone
93,Suzuki Sonoko,suzuki.sonoko@gmail.com,2004-04-13,4,41212892,Beika
94,Juvia Lockser,juvia.lockser@gmail.com,2008-11-20,11,14245566,Shinjuku
95,Kawashima Sapphire,kawashima.sapphire@gmail.com,2008-12-22,12,6706692,Hakone
96,Rogue Oro,rogue.oro@gmail.com,1996-06-27,6,32296722,Tokyo
97,Ushiromiya Maria,ushiromiya.maria@gmail.com,1987-12-10,12,24335789,Hakone
98,Ushiromiya Ange,ushiromiya.ange@gmail.com,1988-01-27,1,31548839,Ikebukuro
99,Lucy Heartfilia,lucy.heartfilia@gmail.com,1994-03-23,3,24421212,Akihabara
100,Kudo Shinichi,kudo.shinichi@gmail.com,1991-08-12,8,21047763,Fukuoka
101,Sting Eucliffe,sting.eucliffe@gmail.com,2007-07-12,7,37787618,Beika
102,Shiina Mayuri,shiina.mayuri@gmail.com,2006-11-09,11,12255440,Kyoto
103,Manabe Nodoka,manabe.nodoka@gmail.com,1993-06-26,6,8995801,Rokkenjima
104,Sasha Blouse,sasha.blouse@gmail.com,1989-03-21,3,8140559,Shinjuku
105,Urushibara Ruka,urushibara.ruka@gmail.com,2005-03-22,3,11487912,Shibuya
106,Rogue Oro,rogue.oro@gmail.com,2005-03-07,3,15942864,Tokyo
107,Yoshii Junna,yoshii.junna@gmail.com,1981-05-21,5,6157450,Yokohama
108,Erza Scarlet,erza.scarlet@gmail.com,1992-03-01,3,48224926,Shibuya
109,Hijiri Kanade,hijiri.kanade@gmail.com,1985-06-02,6,41280578,Beika
110,Hijiri Kanade,hijiri.kanade@gmail.com,1992-07-28,7,14534022,Beika
111,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,1985-03-04,3,2084096,Osaka
112,Megure Juzo,megure.juzo@gmail.com,2002-08-03,8,45109305,Tokyo
113,Tainaka Ritsu,tainaka.ritsu@gmail.com,1987-06-15,6,12145381,Ikebukuro
114,Levy McGarden,levy.mcgarden@gmail.com,2006-01-16,1,20908930,Tokyo
115,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,2003-02-15,2,34272259,Hakone
116,Mikasa Ackerman,mikasa.ackerman@gmail.com,1995-07-27,7,16490485,Beika
117,Ronove,ronove@gmail.com,1989-07-04,7,21863095,Osaka
118,Erza Scarlet,erza.scarlet@gmail.com,1996-08-23,8,12557649,Sendai
119,Hashida Itaru,hashida.itaru@gmail.com,2005-08-07,8,9185158,Nagoya
120,Takagi Wataru,takagi.wataru@gmail.com,1984-11-15,11,4650824,Shibuya
121,Yoshii Junna,yoshii.junna@gmail.com,2008-02-27,2,40785769,Hakone
122,Hijiri Kanade,hijiri.kanade@gmail.com,1998-06-04,6,4299916,Hakone
123,Nakano Azusa,nakano.azusa@gmail.com,2003-12-15,12,25898835,Nagoya
124,Sting Eucliffe,sting.eucliffe@gmail.com,2006-08-03,8,3360539,Ikebukuro
125,Oumae Kumiko,oumae.kumiko@gmail.com,1984-03-19,3,15881642,Akihabara
126,Kisaki Eri,kisaki.eri@gmail.com,2006-08-08,8,12722400,Nagoya
127,Takagi Wataru,takagi.wataru@gmail.com,2006-03-22,3,6982635,Tokyo
128,Eren Yeager,eren.yeager@gmail.com,1985-05-12,5,14689782,Beika
129,Farah Nae,farah.nae@gmail.com,1991-12-28,12,31558117,Magnolia
130,Hashida Itaru,hashida.itaru@gmail.com,1984-09-25,9,12924561,Kyoto
131,Haibara Ai,haibara.ai@gmail.com,1995-07-27,7,11031844,Sapporo
132,Hange Zoe,hange.zoe@gmail.com,1981-10-04,10,29291540,Sapporo
133,Suzuki Jun,suzuki.jun@gmail.com,1990-12-24,12,3974194,Ikebukuro
134,Manabe Nodoka,manabe.nodoka@gmail.com,1996-12-16,12,39558191,Yokohama
135,Zeke Yeager,zeke.yeager@gmail.com,1990-12-11,12,3555845,Sendai
136,Juvia Lockser,juvia.lockser@gmail.com,1980-02-08,2,30066257,Nagoya
137,Ushiromiya Rudolf,ushiromiya.rudolf@gmail.com,1996-11-14,11,43360614,Sendai
138,Erwin Smith,erwin.smith@gmail.com,1990-12-01,12,21492999,Nagoya
139,Layla Heartfilia,layla.heartfilia@gmail.com,1988-08-07,8,36482396,Uji
140,Ronove,ronove@gmail.com,1980-08-09,8,33611513,Shibuya
141,Hakuba Saguru,hakuba.saguru@gmail.com,2001-11-18,11,27347268,Yokohama
142,Kenny Ackerman,kenny.ackerman@gmail.com,1988-09-04,9,16227867,Kobe
143,Connie Springer,connie.springer@gmail.com,2008-03-11,3,45972612,Yokohama
144,Wendy Marvell,wendy.marvell@gmail.com,1990-12-02,12,34169082,Shinjuku
145,Ushiromiya Ange,ushiromiya.ange@gmail.com,1988-01-28,1,31943010,Beika
146,Mikasa Ackerman,mikasa.ackerman@gmail.com,2002-05-26,5,16818952,Yokohama
147,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2001-08-18,8,39699791,Shibuya
148,Okabe Rintarou,okabe.rintarou@gmail.com,1993-04-26,4,13508098,Kyoto
149,Elfman Strauss,elfman.strauss@gmail.com,2005-08-26,8,21870955,Nagoya
150,Kato Yuko,kato.yuko@gmail.com,1987-01-05,1,35469898,Shinjuku
151,Megure Juzo,megure.juzo@gmail.com,2003-09-09,9,2074449,Fukuoka
152,Hakuba Saguru,hakuba.saguru@gmail.com,1998-01-17,1,31878569,Sendai
153,Kudo Shinichi,kudo.shinichi@gmail.com,1983-01-27,1,40383370,Akihabara
154,Ronove,ronove@gmail.com,2002-07-22,7,40140981,Kobe
155,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2007-07-12,7,13109152,Yokohama
156,Historia Reiss,historia.reiss@gmail.com,1991-03-24,3,29469503,Kobe
157,Yokomizo Jugo,yokomizo.jugo@gmail.com,1992-07-28,7,17320963,Osaka
158,Zeref Alvarez,zeref.alvarez@gmail.com,1994-11-20,11,9225572,Osaka
159,Kenny Ackerman,kenny.ackerman@gmail.com,2003-10-20,10,7013161,Akihabara
160,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,2009-12-10,12,35130949,Tokyo
161,Suzuki Sonoko,suzuki.sonoko@gmail.com,2000-04-25,4,41100138,Uji
162,Chiba Kazunobu,chiba.kazunobu@gmail.com,2002-02-19,2,19349151,Ikebukuro
163,Elfman Strauss,elfman.strauss@gmail.com,1981-04-28,4,18976874,Uji
164,Ushiromiya Ange,ushiromiya.ange@gmail.com,1980-07-15,7,44855318,Kobe
165,Levi Ackerman,levi.ackerman@gmail.com,1981-02-26,2,6561884,Nagoya
166,Haibara Ai,haibara.ai@gmail.com,1997-06-01,6,20480172,Sapporo
167,Lisanna Strauss,lisanna.strauss@gmail.com,2005-09-28,9,45055765,Magnolia
168,Tanaka Asuka,tanaka.asuka@gmail.com,2007-12-15,12,26164142,Sendai
169,Kato Yuko,kato.yuko@gmail.com,1991-01-27,1,29723813,Sendai
170,Miyano Shiho,miyano.shiho@gmail.com,1987-07-22,7,7728040,Uji
171,Farah Nae,farah.nae@gmail.com,2005-02-07,2,10338679,Magnolia
172,Miyano Shiho,miyano.shiho@gmail.com,1983-04-17,4,27375794,Tokyo
173,Saito Sumire,saito.sumire@gmail.com,2008-05-27,5,22033092,Yokohama
174,Megure Juzo,megure.juzo@gmail.com,1989-02-01,2,41214468,Magnolia
175,Okabe Rintarou,okabe.rintarou@gmail.com,1991-07-21,7,5143764,Beika
176,Hakuba Saguru,hakuba.saguru@gmail.com,1988-10-10,10,7154327,Akihabara
177,Wendy Marvell,wendy.marvell@gmail.com,1994-05-21,5,43301612,Yokohama
178,Rogue Oro,rogue.oro@gmail.com,1991-05-26,5,44905085,Tokyo
179,Elfman Strauss,elfman.strauss@gmail.com,1984-10-13,10,10842547,Yokohama
180,Kiryuu Moeka,kiryuu.moeka@gmail.com,2006-04-09,4,47597561,Sendai
181,Levi Ackerman,levi.ackerman@gmail.com,1984-07-16,7,14866969,Hakone
182,Igneel Dragneel,igneel.dragneel@gmail.com,2004-11-10,11,34138876,Sapporo
183,Lucy Heartfilia,lucy.heartfilia@gmail.com,1984-05-08,5,11723640,Beika
184,Ushiromiya Ange,ushiromiya.ange@gmail.com,2004-03-04,3,19479325,Osaka
185,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,1993-07-02,7,25045839,Kobe
186,Jellal Fernandes,jellal.fernandes@gmail.com,1995-11-04,11,33182360,Hakone
187,Lucy Heartfilia,lucy.heartfilia@gmail.com,1997-11-05,11,12535036,Osaka
188,Nakano Azusa,nakano.azusa@gmail.com,1994-09-07,9,17558591,Akihabara
189,Zeref Alvarez,zeref.alvarez@gmail.com,1987-02-27,2,27270113,Magnolia
190,Elfman Strauss,elfman.strauss@gmail.com,2004-04-19,4,16818330,Shinjuku
191,Kato Yuko,kato.yuko@gmail.com,1987-05-02,5,30567613,Uji
192,Juvia Lockser,juvia.lockser@gmail.com,1980-11-22,11,10908224,Sendai
193,Ushiromiya Battler,ushiromiya.battler@gmail.com,1984-09-22,9,25780967,Tokyo
194,Nakano Azusa,nakano.azusa@gmail.com,1998-11-18,11,21337747,Akihabara
195,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,1991-07-22,7,28954943,Kyoto
196,Kato Yuko,kato.yuko@gmail.com,1986-09-05,9,11593715,Fukuoka
197,Lisanna Strauss,lisanna.strauss@gmail.com,1984-02-13,2,6955261,Shinjuku
198,Akiyama Mio,akiyama.mio@gmail.com,2005-06-16,6,40686812,Sendai
199,Ushiromiya Ange,ushiromiya.ange@gmail.com,1991-03-11,3,26889109,Kobe
200,Hattori Heiji,hattori.heiji@gmail.com,1998-07-09,7,43262888,Uji
201,Ushiromiya Rudolf,ushiromiya.rudolf@gmail.com,2009-02-07,2,37964026,Hakone
202,Sera Masumi,sera.masumi@gmail.com,2002-02-14,2,8001438,Kyoto
203,Ushiromiya Battler,ushiromiya.battler@gmail.com,1994-11-14,11,46179642,Hakone
204,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1991-10-05,10,11593570,Uji
205,Ushiromiya Maria,ushiromiya.maria@gmail.com,1993-01-18,1,20140603,Rokkenjima
206,Zeke Yeager,zeke.yeager@gmail.com,1997-10-23,10,8879237,Rokkenjima
207,Hakuba Saguru,hakuba.saguru@gmail.com,1995-02-18,2,33077704,Shibuya
208,Tanaka Asuka,tanaka.asuka@gmail.com,2002-04-01,4,13150501,Ikebukuro
209,Akai Shuichi,akai.shuichi@gmail.com,1983-12-21,12,43336687,Uji
210,Gajeel Redfox,gajeel.redfox@gmail.com,1980-07-15,7,15577116,Uji
211,Kawashima Sapphire,kawashima.sapphire@gmail.com,1999-10-07,10,38148309,Ikebukuro
212,Rogue Oro,rogue.oro@gmail.com,2006-05-03,5,28372768,Sendai
213,Lucy Heartfilia,lucy.heartfilia@gmail.com,2009-04-01,4,46573936,Osaka
214,Tanaka Asuka,tanaka.asuka@gmail.com,1994-01-20,1,25514406,Ikebukuro
215,Lisanna Strauss,lisanna.strauss@gmail.com,1993-04-14,4,9295971,Beika
216,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1981-11-25,11,18295065,Sendai
217,Reiner Braun,reiner.braun@gmail.com,2003-05-19,5,20742285,Sendai
218,Farah Nae,farah.nae@gmail.com,1985-05-14,5,5659065,Kyoto
219,Urushibara Ruka,urushibara.ruka@gmail.com,1996-05-09,5,37863887,Ikebukuro
220,Takagi Wataru,takagi.wataru@gmail.com,1987-01-24,1,47397216,Rokkenjima
221,Hijiri Kanade,hijiri.kanade@gmail.com,1984-11-21,11,13576043,Sapporo
222,Chiba Kazunobu,chiba.kazunobu@gmail.com,1983-04-03,4,31629824,Osaka
223,Hattori Heiji,hattori.heiji@gmail.com,1993-11-12,11,1593243,Akihabara
224,Akai Shuichi,akai.shuichi@gmail.com,2006-11-12,11,36016709,Shinjuku
225,Ushiromiya Maria,ushiromiya.maria@gmail.com,2002-01-26,1,717006,Hakone
226,Bertolt Hoover,bertolt.hoover@gmail.com,1996-06-28,6,10591486,Beika
227,Erza Scarlet,erza.scarlet@gmail.com,2002-04-04,4,23463727,Sapporo
228,Natsu Dragneel,natsu.dragneel@gmail.com,2008-03-15,3,39637824,Shinjuku
229,Goto Hazuki,goto.hazuki@gmail.com,2001-08-28,8,44171743,Nagoya
230,Takagi Wataru,takagi.wataru@gmail.com,1989-12-18,12,39884487,Beika
231,Yoshii Junna,yoshii.junna@gmail.com,1999-03-21,3,13961191,Nagoya
232,Kudo Shinichi,kudo.shinichi@gmail.com,1985-08-27,8,42020090,Rokkenjima
233,Kuroba Kaito,kuroba.kaito@gmail.com,2009-12-06,12,48946474,Uji
234,Levy McGarden,levy.mcgarden@gmail.com,1983-09-17,9,365101,Uji
235,Ushiromiya Jessica,ushiromiya.jessica@gmail.com,1987-01-23,1,24898928,Uji
236,Annie Leonhart,annie.leonhart@gmail.com,1994-10-25,10,23888791,Kyoto
237,Okabe Rintarou,okabe.rintarou@gmail.com,2009-06-05,6,24785632,Ikebukuro
238,Gray Fullbuster,gray.fullbuster@gmail.com,1997-01-21,1,40165057,Hakone
239,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,1990-05-06,5,49934665,Beika
240,Zeref Alvarez,zeref.alvarez@gmail.com,1997-03-26,3,1826335,Ikebukuro
241,Shiina Mayuri,shiina.mayuri@gmail.com,2006-07-02,7,23729130,Tokyo
242,Miyano Shiho,miyano.shiho@gmail.com,1999-10-21,10,2161857,Ikebukuro
243,Igneel Dragneel,igneel.dragneel@gmail.com,2007-12-10,12,14292967,Yokohama
244,Ushiromiya Battler,ushiromiya.battler@gmail.com,1983-11-09,11,4959441,Tokyo
245,Amane Suzuha,amane.suzuha@gmail.com,1990-04-12,4,210598,Rokkenjima
246,Sasha Blouse,sasha.blouse@gmail.com,2005-11-06,11,13401293,Akihabara
247,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2003-03-25,3,11451949,Magnolia
248,Goto Hazuki,goto.hazuki@gmail.com,1992-09-18,9,48375887,Osaka
249,Akai Shuichi,akai.shuichi@gmail.com,2000-01-21,1,14982722,Kobe
250,Chiba Kazunobu,chiba.kazunobu@gmail.com,2007-03-13,3,35532024,Yokohama
251,Urushibara Ruka,urushibara.ruka@gmail.com,1989-08-13,8,7310347,Ikebukuro
252,Amane Suzuha,amane.suzuha@gmail.com,1980-08-18,8,46152401,Nagoya
253,Eren Yeager,eren.yeager@gmail.com,2009-08-14,8,21529025,Sendai
254,Armin Arlert,armin.arlert@gmail.com,1985-04-08,4,15663729,Sendai
255,Ronove,ronove@gmail.com,1981-09-15,9,39263587,Kobe
256,Makise Kurisu,makise.kurisu@gmail.com,1999-02-08,2,44461342,Rokkenjima
257,Gaap,gaap@gmail.com,1985-09-13,9,6066515,Nagoya
258,Chiba Kazunobu,chiba.kazunobu@gmail.com,2009-04-05,4,47167072,Tokyo
259,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1985-09-15,9,44188200,Shibuya
260,Farah Nae,farah.nae@gmail.com,2001-11-08,11,826320,Kobe
261,Suzuki Sonoko,suzuki.sonoko@gmail.com,1986-04-11,4,23443359,Osaka
262,Yamamura Misao,yamamura.misao@gmail.com,1993-01-14,1,23889124,Nagoya
263,Amane Suzuha,amane.suzuha@gmail.com,2005-07-20,7,27620336,Uji
264,Kuroba Kaito,kuroba.kaito@gmail.com,1999-05-12,5,33377091,Rokkenjima
265,Armin Arlert,armin.arlert@gmail.com,1980-12-19,12,37258758,Sapporo
266,Yamamura Misao,yamamura.misao@gmail.com,1980-02-23,2,45121140,Shinjuku
267,Sera Masumi,sera.masumi@gmail.com,1986-02-01,2,25324073,Akihabara
268,Kisaki Eri,kisaki.eri@gmail.com,1994-11-24,11,3582490,Sapporo
269,Takagi Wataru,takagi.wataru@gmail.com,1989-01-03,1,40856913,Akihabara
270,Saito Sumire,saito.sumire@gmail.com,1982-01-28,1,30322791,Beika
271,Sting Eucliffe,sting.eucliffe@gmail.com,1990-03-04,3,4184825,Uji
272,Sera Masumi,sera.masumi@gmail.com,1998-07-02,7,19452627,Yokohama
273,Hirasawa Yui,hirasawa.yui@gmail.com,2005-07-10,7,42977048,Tokyo
274,Elfman Strauss,elfman.strauss@gmail.com,1984-02-03,2,5821191,Shibuya
275,Gray Fullbuster,gray.fullbuster@gmail.com,1984-01-11,1,9104336,Nagoya
276,Lisanna Strauss,lisanna.strauss@gmail.com,2001-07-02,7,24669368,Shinjuku
277,Hijiri Kanade,hijiri.kanade@gmail.com,2005-06-17,6,45678251,Kyoto
278,Tainaka Ritsu,tainaka.ritsu@gmail.com,1986-10-12,10,18068081,Sapporo
279,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1994-09-05,9,38830046,Akihabara
280,Layla Heartfilia,layla.heartfilia@gmail.com,2007-10-18,10,11972123,Shibuya
281,Ushiromiya Eva,ushiromiya.eva@gmail.com,1990-10-09,10,11954935,Kobe
282,Annie Leonhart,annie.leonhart@gmail.com,1991-05-09,5,20364307,Sendai
283,Layla Heartfilia,layla.heartfilia@gmail.com,1992-11-10,11,7438633,Uji
284,Virgilia,virgilia@gmail.com,1993-04-26,4,10810641,Nagoya
285,Kawashima Sapphire,kawashima.sapphire@gmail.com,1988-01-21,1,44060701,Sapporo
286,Sasha Blouse,sasha.blouse@gmail.com,2007-11-01,11,11320335,Shinjuku
287,Levi Ackerman,levi.ackerman@gmail.com,1998-10-01,10,19710831,Hakone
288,Okabe Rintarou,okabe.rintarou@gmail.com,1998-08-24,8,23561492,Ikebukuro
289,Urushibara Ruka,urushibara.ruka@gmail.com,1997-08-03,8,34790416,Yokohama
290,Eren Yeager,eren.yeager@gmail.com,1993-03-24,3,31207681,Fukuoka
291,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,1986-02-23,2,44112592,Fukuoka
292,Kousaka Reina,kousaka.reina@gmail.com,2003-02-22,2,12363029,Uji
293,Sera Masumi,sera.masumi@gmail.com,1992-07-10,7,8874342,Tokyo
294,Oumae Kumiko,oumae.kumiko@gmail.com,2008-12-23,12,6513987,Beika
295,Eren Yeager,eren.yeager@gmail.com,1985-01-15,1,6305826,Tokyo
296,Erza Scarlet,erza.scarlet@gmail.com,2002-12-28,12,2476885,Sapporo
297,Armin Arlert,armin.arlert@gmail.com,2003-09-07,9,8443460,Nagoya
298,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2006-04-13,4,30918396,Shinjuku
299,Chiba Kazunobu,chiba.kazunobu@gmail.com,2006-01-11,1,28540638,Ikebukuro
300,Manabe Nodoka,manabe.nodoka@gmail.com,1993-12-24,12,21770271,Ikebukuro
301,Chiba Kazunobu,chiba.kazunobu@gmail.com,1993-11-01,11,19528826,Shibuya
302,Akiyama Mio,akiyama.mio@gmail.com,1996-03-06,3,49744887,Fukuoka
303,Sting Eucliffe,sting.eucliffe@gmail.com,1990-10-28,10,4034140,Shibuya
304,Yoshii Junna,yoshii.junna@gmail.com,1988-12-09,12,24970126,Kyoto
305,Tainaka Ritsu,tainaka.ritsu@gmail.com,2001-02-11,2,11859553,Tokyo
306,Ushiromiya Ange,ushiromiya.ange@gmail.com,1980-03-26,3,31258298,Akihabara
307,Kisaki Eri,kisaki.eri@gmail.com,2001-08-28,8,13402591,Ikebukuro
308,Sera Masumi,sera.masumi@gmail.com,2001-12-22,12,862325,Sapporo
