id,nama,email,tanggal_lahir,bulan_lahir,total_belanja,kota
77,Megure Juzo,megure.juzo@gmail.com,2003-06-27,6,20187748,Shibuya
78,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,2007-09-27,9,43398657,Ikebukuro
79,Amane Suzuha,amane.suzuha@gmail.com,1999-10-18,10,32875114,Sendai
80,Haibara Ai,haibara.ai@gmail.com,2008-09-24,9,9947356,Kyoto
81,Kisaki Eri,kisaki.eri@gmail.com,2003-01-19,1,20699415,Kobe
82,Wendy Marvell,wendy.marvell@gmail.com,1998-04-18,4,44611434,Ikebukuro
83,Miyano Shiho,miyano.shiho@gmail.com,2006-11-04,11,39871832,Tokyo
84,Edogawa Conan,edogawa.conan@gmail.com,1997-11-01,11,20167043,Rokkenjima
85,Mirajane Strauss,mirajane.strauss@gmail.com,2008-05-07,5,8963522,Akihabara
86,Elfman Strauss,elfman.strauss@gmail.com,1997-08-27,8,2512954,Shinjuku
87,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2005-03-28,3,1493949,Uji
88,Virgilia,virgilia@gmail.com,2002-05-26,5,14334426,Osaka
89,Kisaki Eri,kisaki.eri@gmail.com,2006-10-14,10,42560634,Uji
90,Saito Sumire,saito.sumire@gmail.com,2004-09-07,9,28882448,Hakone
91,Ushiromiya Eva,ushiromiya.eva@gmail.com,2006-05-19,5,13720202,Fukuoka
92,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,1996-08-21,8,44240248,Yokohama
93,Connie Springer,connie.springer@gmail.com,1997-02-27,2,8561831,Osaka
94,Okabe Rintarou,okabe.rintarou@gmail.com,2005-10-25,10,45776355,Tokyo
95,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2007-05-04,5,26231981,Magnolia
96,Megure Juzo,megure.juzo@gmail.com,2002-12-08,12,29348839,Kyoto
97,Edogawa Conan,edogawa.conan@gmail.com,2002-07-03,7,3126884,Sapporo
98,Igneel Dragneel,igneel.dragneel@gmail.com,2000-11-24,11,6272823,Akihabara
99,Yokomizo Jugo,yokomizo.jugo@gmail.com,2001-05-15,5,17494537,Shinjuku
100,Akai Shuichi,akai.shuichi@gmail.com,2006-08-07,8,339345,Rokkenjima
101,Suzuki Sonoko,suzuki.sonoko@gmail.com,2001-08-09,8,46662447,Rokkenjima
102,Farah Nae,farah.nae@gmail.com,2005-06-06,6,45945084,Sapporo
103,Akiyama Mio,akiyama.mio@gmail.com,1998-08-04,8,39797396,Yokohama
104,Akiyama Mio,akiyama.mio@gmail.com,2001-05-07,5,44267342,Kobe
105,Annie Leonhart,annie.leonhart@gmail.com,1995-08-10,8,46790865,Hakone
106,Ronove,ronove@gmail.com,2000-10-17,10,12327688,Ikebukuro
107,Miyano Shiho,miyano.shiho@gmail.com,2007-06-17,6,1271612,Kyoto
108,Mouri Ran,mouri.ran@gmail.com,2006-10-13,10,32650196,Kobe
109,Akai Shuichi,akai.shuichi@gmail.com,2004-08-15,8,36246933,Ikebukuro
110,Lisanna Strauss,lisanna.strauss@gmail.com,2009-12-21,12,33647659,Sendai
111,Wendy Marvell,wendy.marvell@gmail.com,2004-08-08,8,27863094,Sendai
112,Chiba Kazunobu,chiba.kazunobu@gmail.com,1997-10-28,10,19295697,Beika
113,Ushiromiya Ange,ushiromiya.ange@gmail.com,2003-05-18,5,28128039,Tokyo
114,Chiba Kazunobu,chiba.kazunobu@gmail.com,2000-11-11,11,35109606,Beika
115,Lucy Heartfilia,lucy.heartfilia@gmail.com,1999-09-22,9,28215082,Shibuya
116,Ushiromiya Eva,ushiromiya.eva@gmail.com,2005-09-05,9,25535940,Shinjuku
117,Makise Kurisu,makise.kurisu@gmail.com,2009-09-02,9,33380266,Yokohama
118,Yamamura Misao,yamamura.misao@gmail.com,1999-07-27,7,45266021,Fukuoka
119,Akai Shuichi,akai.shuichi@gmail.com,2002-03-26,3,24347315,Fukuoka
120,Miyano Shiho,miyano.shiho@gmail.com,1998-06-03,6,15481604,Yokohama
121,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2007-02-01,2,17949098,Yokohama
122,Ushiromiya Eva,ushiromiya.eva@gmail.com,2004-12-26,12,22574468,Osaka
123,Juvia Lockser,juvia.lockser@gmail.com,2008-06-23,6,35823021,Fukuoka
124,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2003-09-28,9,19140732,Uji
125,Kudo Shinichi,kudo.shinichi@gmail.com,1995-09-05,9,11426652,Yokohama
126,Gajeel Redfox,gajeel.redfox@gmail.com,1995-01-18,1,1099444,Nagoya
127,Jellal Fernandes,jellal.fernandes@gmail.com,1999-05-13,5,10643707,Kyoto
128,Virgilia,virgilia@gmail.com,2007-01-18,1,45426448,Fukuoka
129,Wendy Marvell,wendy.marvell@gmail.com,2008-07-03,7,31111225,Hakone
130,Makise Kurisu,makise.kurisu@gmail.com,1997-06-21,6,35559444,Akihabara
131,Gray Fullbuster,gray.fullbuster@gmail.com,2001-05-25,5,7445249,Fukuoka
132,Gaap,gaap@gmail.com,1995-07-02,7,31744539,Fukuoka
133,Urushibara Ruka,urushibara.ruka@gmail.com,1998-04-13,4,10124100,Uji
134,Megure Juzo,megure.juzo@gmail.com,2000-03-15,3,13322264,Shibuya
135,Toyama Kazuha,toyama.kazuha@gmail.com,2002-09-20,9,27648141,Osaka
136,Reiner Braun,reiner.braun@gmail.com,2007-06-14,6,38506228,Kyoto
137,Nakano Azusa,nakano.azusa@gmail.com,1999-12-05,12,37302690,Kobe
138,Kenny Ackerman,kenny.ackerman@gmail.com,2006-03-02,3,36946139,Rokkenjima
139,Kato Yuko,kato.yuko@gmail.com,2002-10-26,10,24954724,Yokohama
140,Sasha Blouse,sasha.blouse@gmail.com,2002-06-09,6,14750131,Yokohama
141,Akiyama Mio,akiyama.mio@gmail.com,2003-06-23,6,17337752,Fukuoka
142,Kisaki Eri,kisaki.eri@gmail.com,1997-10-18,10,19173237,Sapporo
143,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,1998-08-09,8,31373386,Osaka
144,Connie Springer,connie.springer@gmail.com,2000-01-13,1,43469144,Hakone
145,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,2007-08-11,8,30412944,Nagoya
146,Hakuba Saguru,hakuba.saguru@gmail.com,2001-01-17,1,17241535,Sapporo
147,Okabe Rintarou,okabe.rintarou@gmail.com,2005-06-22,6,18451907,Sendai
148,Urushibara Ruka,urushibara.ruka@gmail.com,2005-10-25,10,25473068,Rokkenjima
149,Kisaki Eri,kisaki.eri@gmail.com,2004-01-11,1,19366291,Sapporo
150,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2004-07-02,7,39568135,Kobe
151,Kisaki Eri,kisaki.eri@gmail.com,2002-04-10,4,12706019,Akihabara
152,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2007-01-23,1,22379465,Shinjuku
153,Shiina Mayuri,shiina.mayuri@gmail.com,2005-03-24,3,37436666,Kobe
154,Jean Kirstein,jean.kirstein@gmail.com,1996-03-17,3,41230000,Shinjuku
155,Armin Arlert,armin.arlert@gmail.com,2001-03-28,3,36163829,Akihabara
156,Edogawa Conan,edogawa.conan@gmail.com,2007-07-04,7,11299080,Beika
157,Akiyama Mio,akiyama.mio@gmail.com,1995-09-25,9,16323924,Kyoto
158,Suzuki Jun,suzuki.jun@gmail.com,2000-02-08,2,17029307,Akihabara
159,Yokomizo Jugo,yokomizo.jugo@gmail.com,2002-05-13,5,19429450,Magnolia
160,Suzuki Jun,suzuki.jun@gmail.com,2008-07-20,7,9910944,Beika
161,Chiba Kazunobu,chiba.kazunobu@gmail.com,2007-08-05,8,12766824,Sendai
162,Hakuba Saguru,hakuba.saguru@gmail.com,2007-01-26,1,22922956,Nagoya
163,Annie Leonhart,annie.leonhart@gmail.com,2005-07-05,7,4912339,Beika
164,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,2001-11-02,11,19229480,Sendai
165,Kisaki Eri,kisaki.eri@gmail.com,2009-05-16,5,18067871,Nagoya
166,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2000-07-22,7,20738636,Sapporo
167,Levi Ackerman,levi.ackerman@gmail.com,2008-03-27,3,18196372,Uji
168,Kousaka Reina,kousaka.reina@gmail.com,2000-09-03,9,14169338,Uji
169,Juvia Lockser,juvia.lockser@gmail.com,1999-01-06,1,8989676,Rokkenjima
170,Miyano Shiho,miyano.shiho@gmail.com,2000-09-02,9,16250477,Rokkenjima
171,Armin Arlert,armin.arlert@gmail.com,2004-01-07,1,8408117,Uji
172,Kuroba Kaito,kuroba.kaito@gmail.com,2006-11-13,11,11474377,Fukuoka
173,Eren Yeager,eren.yeager@gmail.com,2004-09-05,9,34029842,Shibuya
174,Mikasa Ackerman,mikasa.ackerman@gmail.com,2009-08-05,8,44539643,Sendai
175,Yoshii Junna,yoshii.junna@gmail.com,1998-12-04,12,36217160,Sapporo
176,Levi Ackerman,levi.ackerman@gmail.com,1996-03-17,3,6692850,Rokkenjima
177,Kato Yuko,kato.yuko@gmail.com,1999-07-22,7,43245702,Fukuoka
178,Farah Nae,farah.nae@gmail.com,2007-05-20,5,48257395,Sendai
179,Ushiromiya Battler,ushiromiya.battler@gmail.com,2006-08-25,8,9446772,Akihabara
180,Kudo Shinichi,kudo.shinichi@gmail.com,1998-08-23,8,46506661,Kobe
181,Ushiromiya Maria,ushiromiya.maria@gmail.com,2000-09-17,9,45291976,Kyoto
182,Hijiri Kanade,hijiri.kanade@gmail.com,2009-12-20,12,41438480,Rokkenjima
183,Jean Kirstein,jean.kirstein@gmail.com,2002-06-28,6,8702655,Hakone
184,Levy McGarden,levy.mcgarden@gmail.com,1998-08-24,8,9002077,Hakone
185,Virgilia,virgilia@gmail.com,2004-06-02,6,21167988,Fukuoka
186,Haibara Ai,haibara.ai@gmail.com,2002-07-22,7,7422642,Nagoya
187,Kato Yuko,kato.yuko@gmail.com,2006-11-20,11,12843516,Uji
188,Levi Ackerman,levi.ackerman@gmail.com,2001-07-20,7,32578076,Shibuya
189,Lisanna Strauss,lisanna.strauss@gmail.com,1998-04-12,4,34726611,Rokkenjima
190,Yoshii Junna,yoshii.junna@gmail.com,2006-01-18,1,47272413,Kobe
191,Mirajane Strauss,mirajane.strauss@gmail.com,2008-10-27,10,46798371,Uji
192,Erza Scarlet,erza.scarlet@gmail.com,2005-10-06,10,8279992,Hakone
193,Chiba Kazunobu,chiba.kazunobu@gmail.com,2004-07-07,7,4814121,Osaka
194,Zeref Alvarez,zeref.alvarez@gmail.com,2007-12-22,12,43502692,Uji
195,Suzuki Jun,suzuki.jun@gmail.com,1997-07-22,7,47418477,Akihabara
196,Sting Eucliffe,sting.eucliffe@gmail.com,2009-01-26,1,5133555,Fukuoka
197,Urushibara Ruka,urushibara.ruka@gmail.com,2008-09-10,9,25232066,Yokohama
198,Juvia Lockser,juvia.lockser@gmail.com,2007-02-12,2,46063628,Hakone
199,Ushiromiya Ange,ushiromiya.ange@gmail.com,2001-07-21,7,27586891,Uji
200,Connie Springer,connie.springer@gmail.com,1998-12-13,12,18436374,Osaka
201,Akai Shuichi,akai.shuichi@gmail.com,2007-07-21,7,28784682,Osaka
202,Mouri Ran,mouri.ran@gmail.com,2000-07-14,7,5510924,Magnolia
203,Hijiri Kanade,hijiri.kanade@gmail.com,2007-04-28,4,23705004,Sendai
204,Farah Nae,farah.nae@gmail.com,1997-03-11,3,26107727,Kobe
205,Mouri Ran,mouri.ran@gmail.com,2003-08-06,8,35728239,Ikebukuro
206,Urushibara Ruka,urushibara.ruka@gmail.com,2004-09-18,9,3941400,Kyoto
207,Reiner Braun,reiner.braun@gmail.com,1997-06-19,6,34017375,Nagoya
208,Erwin Smith,erwin.smith@gmail.com,2009-05-23,5,37631950,Yokohama
209,Chiba Kazunobu,chiba.kazunobu@gmail.com,2003-09-27,9,47397598,Uji
210,Wendy Marvell,wendy.marvell@gmail.com,1999-01-17,1,7534789,Shinjuku
211,Bertolt Hoover,bertolt.hoover@gmail.com,2009-02-01,2,23250412,Yokohama
212,Chiba Kazunobu,chiba.kazunobu@gmail.com,2007-08-16,8,7720396,Fukuoka
213,Jean Kirstein,jean.kirstein@gmail.com,2003-08-06,8,37145339,Nagoya
214,Nakano Azusa,nakano.azusa@gmail.com,1997-06-06,6,23120931,Yokohama
215,Erwin Smith,erwin.smith@gmail.com,1999-11-01,11,47913662,Fukuoka
216,Toyama Kazuha,toyama.kazuha@gmail.com,1999-11-16,11,8008904,Kyoto
217,Takagi Wataru,takagi.wataru@gmail.com,1995-04-18,4,11966553,Shibuya
218,Bertolt Hoover,bertolt.hoover@gmail.com,2009-09-05,9,22362199,Sendai
219,Tsukamoto Shuuichi,tsukamoto.shuuichi@gmail.com,2006-08-09,8,17486496,Shibuya
220,Erza Scarlet,erza.scarlet@gmail.com,2000-10-13,10,16257794,Sapporo
221,Goto Hazuki,goto.hazuki@gmail.com,1995-06-28,6,36744984,Rokkenjima
222,Okabe Rintarou,okabe.rintarou@gmail.com,2007-09-24,9,39957800,Nagoya
223,Tanaka Asuka,tanaka.asuka@gmail.com,2001-02-11,2,31270014,Ikebukuro
224,Suzuki Sonoko,suzuki.sonoko@gmail.com,2003-10-22,10,7389936,Uji
225,Oumae Kumiko,oumae.kumiko@gmail.com,1996-12-06,12,35322397,Magnolia
226,Historia Reiss,historia.reiss@gmail.com,2001-11-20,11,8860336,Rokkenjima
227,Hirasawa Yui,hirasawa.yui@gmail.com,1999-07-21,7,29320332,Rokkenjima
228,Annie Leonhart,annie.leonhart@gmail.com,1999-10-11,10,48287811,Shibuya
229,Edogawa Conan,edogawa.conan@gmail.com,2006-03-17,3,13327300,Osaka
230,Oumae Kumiko,oumae.kumiko@gmail.com,2009-04-17,4,2644942,Sapporo
231,Miyano Shiho,miyano.shiho@gmail.com,2009-04-12,4,44175095,Magnolia
232,Takagi Wataru,takagi.wataru@gmail.com,2005-01-17,1,19864205,Uji
233,Historia Reiss,historia.reiss@gmail.com,2002-02-08,2,25603159,Kyoto
234,Levy McGarden,levy.mcgarden@gmail.com,1998-10-02,10,9130078,Fukuoka
235,Levy McGarden,levy.mcgarden@gmail.com,2009-02-16,2,8225903,Ikebukuro
236,Okabe Rintarou,okabe.rintarou@gmail.com,2002-08-02,8,39953656,Uji
237,Ushiromiya Beatrice,ushiromiya.beatrice@gmail.com,2006-08-04,8,21045886,Uji
238,Chiba Kazunobu,chiba.kazunobu@gmail.com,1995-08-03,8,34852522,Kobe
239,Haibara Ai,haibara.ai@gmail.com,2000-04-24,4,43606793,Magnolia
240,Toyama Kazuha,toyama.kazuha@gmail.com,2000-04-11,4,20610894,Beika
241,Mouri Ran,mouri.ran@gmail.com,1997-04-28,4,32013525,Kobe
242,Miyano Shiho,miyano.shiho@gmail.com,2006-04-02,4,28709464,Ikebukuro
243,Yoroizuka Mizore,yoroizuka.mizore@gmail.com,2004-06-13,6,17543022,Ikebukuro
244,Erwin Smith,erwin.smith@gmail.com,2003-10-09,10,30086444,Rokkenjima
245,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2001-12-07,12,10596526,Ikebukuro
246,Sasha Blouse,sasha.blouse@gmail.com,1999-05-19,5,21131948,Sendai
247,Amuro Tooru,amuro.tooru@gmail.com,1998-09-11,9,15518057,Tokyo
248,Oumae Kumiko,oumae.kumiko@gmail.com,1999-03-24,3,48591284,Osaka
249,Kasashima Nozomi,kasashima.nozomi@gmail.com,2002-07-21,7,32226423,Magnolia
250,Hange Zoe,hange.zoe@gmail.com,2009-03-18,3,24906325,Ikebukuro
251,Virgilia,virgilia@gmail.com,2004-04-21,4,21570216,Shibuya
252,Amuro Tooru,amuro.tooru@gmail.com,1996-02-06,2,31048224,Hakone
253,Ushiromiya Ange,ushiromiya.ange@gmail.com,1995-05-03,5,16855321,Sendai
254,Juvia Lockser,juvia.lockser@gmail.com,2002-06-24,6,31588804,Osaka
255,Sasha Blouse,sasha.blouse@gmail.com,1996-12-03,12,6367460,Tokyo
256,Tainaka Ritsu,tainaka.ritsu@gmail.com,1999-05-27,5,37573261,Rokkenjima
257,Yokomizo Jugo,yokomizo.jugo@gmail.com,1996-08-19,8,45932444,Sapporo
258,Eren Yeager,eren.yeager@gmail.com,2006-04-09,4,26842125,Ikebukuro
259,Akiyama Mio,akiyama.mio@gmail.com,2003-07-14,7,27051968,Sapporo
260,Takagi Wataru,takagi.wataru@gmail.com,1995-05-12,5,39924822,Nagoya
261,Edogawa Conan,edogawa.conan@gmail.com,2003-03-07,3,47654712,Nagoya
262,Yokomizo Jugo,yokomizo.jugo@gmail.com,1996-05-15,5,38099525,Kobe
263,Erza Scarlet,erza.scarlet@gmail.com,2002-11-13,11,39769224,Akihabara
264,Lisanna Strauss,lisanna.strauss@gmail.com,1999-05-04,5,26335848,Osaka
265,Jellal Fernandes,jellal.fernandes@gmail.com,2005-07-28,7,9326868,Nagoya
266,Elfman Strauss,elfman.strauss@gmail.com,2001-11-05,11,21907644,Fukuoka
267,Reiner Braun,reiner.braun@gmail.com,2004-07-06,7,23550214,Kyoto
268,Akai Shuichi,akai.shuichi@gmail.com,1998-02-18,2,21726605,Rokkenjima
269,Juvia Lockser,juvia.lockser@gmail.com,2006-01-22,1,8600165,Fukuoka
270,Chiba Kazunobu,chiba.kazunobu@gmail.com,2000-11-23,11,12000488,Magnolia
271,Erwin Smith,erwin.smith@gmail.com,1995-11-10,11,11939659,Uji
272,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,2006-12-01,12,23857795,Hakone
273,Akai Shuichi,akai.shuichi@gmail.com,2009-06-11,6,42106406,Kyoto
274,Nakagawa Natsuki,nakagawa.natsuki@gmail.com,2003-06-18,6,30939038,Nagoya
275,Kudo Shinichi,kudo.shinichi@gmail.com,2002-05-03,5,47903024,Ikebukuro
276,Ushiromiya Eva,ushiromiya.eva@gmail.com,2006-09-22,9,25079466,Uji
277,Yamamura Misao,yamamura.misao@gmail.com,1995-11-06,11,49030692,Kobe
278,Gaap,gaap@gmail.com,2003-10-26,10,12257764,Magnolia
279,Zeref Alvarez,zeref.alvarez@gmail.com,2006-10-18,10,35014055,Ikebukuro
280,Kato Yuko,kato.yuko@gmail.com,1995-11-17,11,23165746,Shibuya
281,Levi Ackerman,levi.ackerman@gmail.com,1995-12-08,12,28968634,Rokkenjima
282,Megure Juzo,megure.juzo@gmail.com,2008-09-22,9,43135552,Nagoya
283,Ushiromiya Maria,ushiromiya.maria@gmail.com,2008-02-25,2,28914787,Kobe
284,Oumae Kumiko,oumae.kumiko@gmail.com,2002-09-22,9,3581083,Shibuya
285,Farah Nae,farah.nae@gmail.com,2009-10-11,10,34330769,Hakone
286,Kawashima Sapphire,kawashima.sapphire@gmail.com,2003-03-23,3,17770253,Shinjuku
287,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,1998-01-10,1,17779987,Hakone
288,Mirajane Strauss,mirajane.strauss@gmail.com,2002-09-09,9,8413689,Yokohama
289,Hange Zoe,hange.zoe@gmail.com,2008-09-12,9,32900970,Nagoya
290,Sasha Blouse,sasha.blouse@gmail.com,2008-05-17,5,35971973,Fukuoka
291,Farah Nae,farah.nae@gmail.com,2001-05-10,5,1887648,Beika
292,Saito Sumire,saito.sumire@gmail.com,1998-08-01,8,21328136,Yokohama
293,Miyano Shiho,miyano.shiho@gmail.com,2003-09-18,9,23838008,Shibuya
294,Megure Juzo,megure.juzo@gmail.com,2000-09-15,9,8919081,Hakone
295,Megure Juzo,megure.juzo@gmail.com,2001-04-17,4,18499816,Hakone
296,Chiba Kazunobu,chiba.kazunobu@gmail.com,2001-07-21,7,48671549,Magnolia
297,Makise Kurisu,makise.kurisu@gmail.com,2006-07-02,7,39692654,Kobe
298,Natsu Dragneel,natsu.dragneel@gmail.com,2007-10-19,10,26599444,Fukuoka
299,Kuroba Kaito,kuroba.kaito@gmail.com,2000-11-23,11,47925846,Yokohama
300,Kotobuki Tsumugi,kotobuki.tsumugi@gmail.com,1999-08-01,8,11938962,Hakone
301,Urushibara Ruka,urushibara.ruka@gmail.com,1996-03-07,3,17578296,Sapporo
302,Kasashima Nozomi,kasashima.nozomi@gmail.com,2000-10-25,10,16564833,Magnolia
303,Sato Miwako,sato.miwako@gmail.com,1997-07-25,7,3712502,Magnolia
304,Hange Zoe,hange.zoe@gmail.com,1995-04-06,4,44990654,Fukuoka
305,Ushiromiya Kyrie,ushiromiya.kyrie@gmail.com,1995-03-15,3,39956917,Hakone
306,Oumae Kumiko,oumae.kumiko@gmail.com,2009-09-20,9,25168386,Kyoto
307,Annie Leonhart,annie.leonhart@gmail.com,1996-11-16,11,37810725,Sapporo
308,Ushiromiya Maria,ushiromiya.maria@gmail.com,1999-08-16,8,20672064,Ikebukuro
309,Wendy Marvell,wendy.marvell@gmail.com,1998-12-07,12,27565163,Shinjuku
